rel	e1_loc	e1_type	e2_loc	e2_type	sent
Regulates_Process	0,1,2,3	Protein_Family	37,38,39,40	Regulatory_Network	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Development_Phase	48	Protein	40,41	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	4	Protein	33,34,35	Development_Phase	Because we found that AGL15 accumulates transiently in nuclei in a selected set of tissues during the vegetative and reproductive phases , this raises the possibility that it plays multiple roles during the plant life cycle .
Regulates_Development_Phase	53,54,55	Protein	62	Development_Phase	Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Regulates_Process	0,1,2,3	Protein_Family	24,25	Regulatory_Network	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Development_Phase	55	Protein	50,51,52	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/ AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	34	Protein	23,24,25	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	38	Protein	23,24,25	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	9	Protein	20,21,22,23,24,25	Development_Phase	Our previous findings have led us to suggest that AGL15 is likely to play an important regulatory role at the beginning of the plant life cycle .
Regulates_Development_Phase	45	Protein	40,41	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Process	2	Protein	9,10,11	Regulatory_Network	Specifically , AGL15 may play a role in controlling age-dependent developmental programs , particularly in reproductive tissues .
Regulates_Development_Phase	59	Protein	50,51,52	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Process	29	Protein	38,39	Regulatory_Network	Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Regulates_Development_Phase	29	Protein	23,24,25	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	0,1,2,3	Protein_Family	29,30	Development_Phase	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Development_Phase	56	Protein	50,51,52	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Functionally_Equivalent_To	0	Protein	2,3	Protein	AGL15 ( AGAMOUS-like 15 ) is a member of the MADS domain family , a large , diverse family of regulatory factors .
Is_Functionally_Equivalent_To	45	Protein	43	Protein	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Functionally_Equivalent_To	29	Protein	27	Protein	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Functionally_Equivalent_To	34	Protein	32	Protein	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Functionally_Equivalent_To	55	Protein	54	Protein	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL / AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Expression	17	Tissue	21	Gene	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Regulates_Expression	35,36	Development_Phase	32	Gene	These findings , plus an awareness that expression patterns have provided important insights into the developmental roles of MADS domain factors in past investigations , motivated us to look more closely at AGL15 expression in postembryonic phases .
Regulates_Expression	17	Tissue	19	Gene	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Regulates_Expression	14,15	Tissue	9	Gene	AGL15 shows strong preferential expression in embryos , whereas AGL2 is predominantly expressed in floral tissues ( Heck et al . 1995 ) .
Regulates_Expression	6	Tissue	0	Gene	AGL15 shows strong preferential expression in embryos , whereas AGL2 is predominantly expressed in floral tissues ( Heck et al . 1995 ) .
Exists_In_Genotype	0,1,2	Protein_Family	11	Genotype	MADS domain factors form a particularly large and diverse group in plants .
Is_Localized_In	0,1	RNA	6,7,8	Tissue	AGL15 transcripts have been detected in young Arabidopsis seedlings by using in situ hybridization ( Rounsley et al . 1995 ) and in various tissues ( including flowers ) in Brassica by using RNA gel blot analyses ( Heck et al . 1995 ) .
Is_Localized_In	66,67	Protein_Family	73	Tissue	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	0,1,2,3	Protein_Family	8,9	Genotype	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Is_Localized_In	8	Protein	12,13,17	Tissue	Using AGL15-specific antibodies , we have shown that AGL15 accumulates in the nuclei of young embryos , endosperm , and suspensor cells but only in the cytoplasm of the egg cell ( Perry et al . 1996 ) .
Is_Localized_In	5	Protein	9	Tissue	Because the cellular localization of AGL15 is regulated in embryos ( Perry et al . 1996 , Perry et al . 1999 ) , we also performed immunolocalization analyses to determine whether the protein accumulated in the cytoplasm or the nuclei .
Is_Localized_In	1	Protein	5	Tissue	Although AGL15 accumulates preferentially in embryos , its accumulation is clearly not restricted to the embryonic phase .
Exists_At_Stage	3,7	RNA	12,13	Development_Phase	We initially isolated AGL15 as a low-abundance mRNA that preferentially accumulates in developing embryos ( Heck et al . 1995 ) ; Rounsley et al . 1995 independently isolated it from a floral cDNA library .
Is_Localized_In	0,1	RNA	27	Tissue	AGL15 transcripts have been detected in young Arabidopsis seedlings by using in situ hybridization ( Rounsley et al . 1995 ) and in various tissues ( including flowers ) in Brassica by using RNA gel blot analyses ( Heck et al . 1995 ) .
Exists_In_Genotype	4,5	Protein_Domain	8	Genotype	In addition to the MADS domain , the plant proteins have another , less highly conserved domain , the K domain , which is thought to serve as a protein-protein interaction domain ( reviewed in Riechmann and Meyerowitz 1997 ) .
Is_Protein_Domain_Of	43,44	Protein_Domain	10,11,12	Protein_Family	AGL15 ( AGAMOUS-like 15 ) is a member of the MADS domain family , a large , diverse family of regulatory factors . All of the members of this family contain a highly conserved 55- to 60-amino acid domain , known as the MADS domain , which binds DNA through contacts in the minor groove and interactions with the phosphate backbone ( Pellegrini et al . 1995 ) .
Exists_In_Genotype	0	Gene	6	Genotype	AGL15 is a single-copy gene in Arabidopsis , and thus far , genome sequencing efforts have not revealed any genes likely to represent recent duplications of the AGL15 locus .
Is_Localized_In	8	Protein	26,27,28,29,30	Tissue	Using AGL15-specific antibodies , we have shown that AGL15 accumulates in the nuclei of young embryos , endosperm , and suspensor cells but only in the cytoplasm of the egg cell ( Perry et al . 1996 ) .
Exists_In_Genotype	19,20	Protein_Domain	8	Genotype	In addition to the MADS domain , the plant proteins have another , less highly conserved domain , the K domain , which is thought to serve as a protein-protein interaction domain ( reviewed in Riechmann and Meyerowitz 1997 ) .
Is_Localized_In	8	Protein	12,13,20,21	Tissue	Using AGL15-specific antibodies , we have shown that AGL15 accumulates in the nuclei of young embryos , endosperm , and suspensor cells but only in the cytoplasm of the egg cell ( Perry et al . 1996 ) .
Is_Localized_In	4	Protein	8	Tissue	Because we found that AGL15 accumulates transiently in nuclei in a selected set of tissues during the vegetative and reproductive phases , this raises the possibility that it plays multiple roles during the plant life cycle .
Is_Localized_In	8	Protein	12,13,14,15	Tissue	Using AGL15-specific antibodies , we have shown that AGL15 accumulates in the nuclei of young embryos , endosperm , and suspensor cells but only in the cytoplasm of the egg cell ( Perry et al . 1996 ) .
Is_Member_Of_Family	38	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	34	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	45	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
