class,label,train_count,test_count,precision,recall,f1
0,Binds_To,60,24,0.321,0.375,0.346
1,Composes_Primary_Structure,20,15,0.0,0.0,0.0
2,Composes_Protein_Complex,16,0,0.0,0.0,0.0
3,Exists_At_Stage,15,8,0.0,0.0,0.0
4,Exists_In_Genotype,169,81,0.831,0.79,0.81
5,Has_Sequence_Identical_To,62,20,0.25,0.35,0.292
6,Interacts_With,62,32,0.327,0.531,0.405
7,Is_Functionally_Equivalent_To,60,39,0.343,0.308,0.324
8,Is_Involved_In_Process,23,20,0.0,0.0,0.0
9,Is_Linked_To,44,23,0.0,0.0,0.0
10,Is_Localized_In,107,47,0.75,0.638,0.69
11,Is_Member_Of_Family,89,55,0.352,0.455,0.397
12,Is_Protein_Domain_Of,46,29,0.476,0.345,0.4
13,Occurs_During,8,10,0.0,0.0,0.0
14,Occurs_In_Genotype,18,16,0.125,0.062,0.083
15,Regulates_Accumulation,36,29,1.0,0.552,0.711
16,Regulates_Development_Phase,106,59,0.524,0.186,0.275
17,Regulates_Expression,201,111,0.656,0.721,0.687
19,Regulates_Process,436,179,0.562,0.939,0.703
20,Regulates_Tissue_Development,9,9,0.0,0.0,0.0
21,Transcribes_Or_Translates_To,25,13,0.0,0.0,0.0
,Micro,,,0.549,0.549,0.549
,Macro,,,0.31,0.298,0.292
,Weighted,,,0.498,0.549,0.502
,Accuracy,,,0.549,,
