class,hierarchy,label,train_count,test_count,precision,recall,f1
0,When_Where_01,Exists_In_Genotype,169,81,0.76,0.975,0.854
1,When_Where_02,Occurs_In_Genotype,18,16,0.0,0.0,0.0
2,When_Where_03,Exists_At_Stage,15,8,0.0,0.0,0.0
3,When_Where_04,Occurs_During,8,10,0.0,0.0,0.0
4,When_Where_05,Is_Localized_In,107,47,0.75,0.894,0.816
5,Function_01,Is_Involved_In_Process,23,20,0.0,0.0,0.0
6,Function_02,Transcribes_Or_Translates_To,25,13,0.0,0.0,0.0
7,Function_03,Is_Functionally_Equivalent_To,60,39,0.37,0.256,0.303
8,Regulation_01,Regulates_Accumulation,36,29,0.731,0.655,0.691
9,Regulation_02,Regulates_Development_Phase,106,59,0.787,0.627,0.698
10,Regulation_03,Regulates_Expression,201,111,0.661,0.685,0.673
12,Regulation_05,Regulates_Process,436,179,0.711,0.989,0.827
13,Regulation_06,Regulates_Tissue_Development,9,9,0.0,0.0,0.0
14,Composition_01,Composes_Primary_Structure,20,15,0.0,0.0,0.0
16,Composition_03,Is_Protein_Domain_Of,46,29,0.385,0.172,0.238
17,Composition_04,Is_Member_Of_Family,89,55,0.583,0.636,0.609
18,Composition_05,Has_Sequence_Identical_To,62,20,0.195,0.4,0.262
19,Interaction_01,Binds_To,60,24,0.261,0.25,0.255
20,Interaction_02,Interacts_With,62,32,0.37,0.625,0.465
21,Interaction_03,Is_Linked_To,44,23,0.0,0.0,0.0
,,Micro,,,0.628,0.628,0.628
,,Macro,,,0.328,0.358,0.335
,,Weighted,,,0.543,0.628,0.574
,,Accuracy,,,0.628,,
